term,score,AffectDimension,Sentiment
anticipation,,,1
antipathy,0.406,anger,
antisocial,0.344,anger,
antisocial,0.324,fear,
antisocial,0.531,sadness,
antithesis,0.5,anger,
antsy,0.375,fear,
anxiety,0.344,anger,-2
anxiety,0.594,fear,-2
anxiety,0.5,sadness,-2
anxietyattack,0.797,fear,
anxious,0.518,fear,-2
apache,0.281,fear,
apathetic,0.438,sadness,-3
apathy,0.281,sadness,-3
apeshit,,,-3
apocalypse,0.844,fear,
apocalyptic,,,-2
apologise,,,-1
apologised,,,-1
apologises,,,-1
apologising,,,-1
apologize,0.37,sadness,-1
apologized,,,-1
apologizes,,,-1
apologizing,,,-1
apology,,,-1
appalled,,,-2
appalling,0.562,fear,-2
apparition,0.547,fear,
appealing,,,2
appease,,,2
appeased,,,2
appeases,,,2
appeasing,,,2
appendicitis,0.547,fear,
appendicitis,0.438,sadness,
applaud,,,2
applauded,,,2
applauding,,,2
applauds,,,2
applause,0.621,joy,2
appreciate,,,2
appreciated,0.682,joy,2
appreciates,0.703,joy,2
appreciating,,,2
appreciation,0.656,joy,2
apprehend,0.562,fear,
apprehension,0.453,fear,
apprehensive,0.578,fear,-2
appropriate,,,2
appropriately,,,2
approval,,,2
approve,0.453,joy,
approved,0.486,joy,2
approves,,,2
ardent,0.25,joy,1
areyoukidding,0.468,anger,
areyoukiddingme,0.409,anger,
argh,0.391,anger,
arghh,0.562,anger,
arghhhh,0.547,anger,
argue,0.734,anger,
argument,0.545,anger,
argumentation,0.515,anger,
arguments,0.404,anger,
arid,0.203,sadness,
armament,0.47,anger,
armament,0.656,fear,
armaments,0.636,fear,
armed,0.7,anger,
armed,0.703,fear,
armor,0.484,fear,
armored,0.469,fear,
aromatherapy,0.409,joy,
arraignment,0.203,anger,
arraignment,0.45,fear,
arraignment,0.359,sadness,
arrest,,,-2
arrested,,,-3
arrests,,,-2
arrogant,0.461,anger,-2
arsehole,0.624,anger,-4
arseholes,0.719,anger,
arsenic,0.703,fear,
arsenic,0.484,sadness,
arson,0.641,anger,
arson,0.794,fear,
art,0,sadness,
art,0.234,joy,
artillery,0.625,fear,
artwork,0.265,joy,
asap,0.191,fear,
ashame,,,-2
ashamed,0.719,sadness,-2
ashes,0.377,sadness,
asleeep,0.059,anger,
asp,0.438,fear,
aspiration,0.485,joy,
aspire,0.516,joy,
aspiring,0.618,joy,
ass,,,-4
assail,0.594,anger,
assail,0.578,fear,
assailant,0.691,anger,
assailant,0.703,fear,
assailant,0.536,sadness,
assassin,0.703,anger,
assassin,0.875,fear,
assassin,0.734,sadness,
assassinate,0.912,anger,
assassinate,0.906,fear,
assassination,0.859,anger,-3
assassination,0.828,fear,-3
assassination,0.797,sadness,-3
assassinations,,,-3
assault,0.859,anger,-2
assault,0.891,fear,-2
assaults,,,-2
assessment,0.172,fear,
asset,,,2
assets,,,2
assfucking,,,-4
asshole,0.606,anger,-4
asteroid,0.469,fear,
astonished,,,2
astonishment,0.547,joy,
astound,,,3
astounded,,,3
astounding,,,3
astoundingly,,,3
astounds,,,3
astray,0.32,fear,
asylum,0.547,fear,
atherosclerosis,0.531,fear,
atherosclerosis,0.5,sadness,
atone,0.197,joy,
atpeace,0.727,joy,
atrocious,0.706,anger,-3
atrocity,0.814,anger,-3
atrocity,0.672,fear,-3
atrocity,0.859,sadness,-3
atrophy,0.438,fear,
atrophy,0.719,sadness,
attack,0.853,anger,-1
attack,0.797,fear,-1
attacked,,,-1
attacking,0.865,anger,-1
attacking,0.859,fear,-1
attacking,0.531,sadness,-1
attacks,,,-1
attentionseeker,0.25,anger,
attentionseekers,0.163,anger,
attenuation,0.344,sadness,
attorney,0.152,anger,
attorney,0.188,fear,
attract,,,1
attracted,,,1
attracting,,,2
attraction,,,2
attractions,,,2
attractive,,,2
attractively,,,2
attractiveness,,,2
attracts,,,1
audacious,,,3
audition,0.156,fear,
auditions,0.266,fear,
auditor,0.297,fear,
aura,0.493,joy,1
auspicious,0.391,joy,
austere,0.47,fear,
austere,0.359,sadness,
authentic,0.364,joy,
authority,,,1
autocorrect,0.015,anger,
autopsy,0.557,fear,
autopsy,0.562,sadness,
autumn,0.254,joy,
avalanche,0.703,fear,
avalanche,0.453,sadness,
avarice,0.49,anger,
avenge,,,-2
avenged,,,-2
avenger,0.485,anger,-2
avengers,,,-2
avenges,,,-2
avenging,,,-2
averse,0.338,anger,
averse,0.483,fear,
aversion,0.44,anger,
aversion,0.283,fear,
avert,,,-1
averted,,,-1
averts,,,-1
avid,,,2
avoid,0.297,fear,-1
avoidance,0.344,fear,
avoided,,,-1
avoiding,0.391,fear,
avoids,,,-1
await,,,-1
awaited,,,-1
awaits,,,-1
award,0.727,joy,3
awarded,,,3
awards,0.609,joy,3
awesome,,,4
awesomeness,0.926,joy,
awful,0.409,anger,-3
awful,0.672,fear,-3
awful,0.641,sadness,-3
awkward,,,-2
axe,,,-1
axed,,,-1
